0;21.791061114716953;initial
1.0;21.639058021271904;MB#1-E01
2.0;19.22968723948626;MN#1-E01
3.0;19.100703398730584;MB#2-E02
4.0;12.49235394515987;MN#2-E02
5.0;12.398476501449256;MB#3-E03
6.0;10.584962500721156;MN#3-E03
7.0;9.971543553950772;MB#4-E04
8.0;7.357552004618084;MN#4-E04
9.0;6.658211482751795;MB#5-E05
9.199999809265137;6.426264754702098;MB#5.1-E05 -- 2nd MB
10.0;4.700439718141092;MN#5-E05
11.0;3.700439718141092;MB#6-E06
12.0;1.584962500721156;MN#6-E07
13.0;1.584962500721156;MB#7-E08
14.0;0.0;MN#7-E08
15.0;0.0;MB#8-E09
16.0;0.0;MN#8-E09
